# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0019443 -0.90000 10.07918 0.0900000036 1.0816895926    0.090 -3.253  3.4370  5.345    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-17      0.00 7.440e-01 2.540e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.903 14.263 16.883 12.857
0.0019443 -0.90000 10.07918 0.0968389809 1.1441453234    0.097 -3.093  3.4595  5.307    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.93e-17      0.00 7.433e-01 2.548e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.503 13.684 15.863 12.347
0.0019443 -0.90000 10.07918 0.1000000015 1.1711064122    0.100 -3.023  3.4694  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-17      0.00 7.429e-01 2.551e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 12.327 13.430 15.428 12.127
0.0019443 -0.90000 10.07918 0.1199999973 1.3193154249    0.120 -2.743  3.5030  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-16      0.00 7.410e-01 2.570e-01 3.523e-04 9.504e-05 8.621e-04 -1.000 1.959e-03 11.627 12.467 13.949 11.291
0.0019443 -0.90000 10.07918 0.1400000006 1.4384526719    0.140 -2.556  3.5215  5.178    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-16      0.00 7.394e-01 2.586e-01 3.523e-04 9.504e-05 8.621e-04 -1.000 1.959e-03 11.161 11.868 13.140 10.762
0.0019443 -0.90000 10.07918 0.1599999964 1.5372931554    0.160 -2.414  3.5332  5.141    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-16      0.00 7.382e-01 2.598e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 10.806 11.438 12.608 10.372
0.0019443 -0.90000 10.07918 0.2000000179 1.6938791367    0.200 -2.194  3.5482  5.077    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.21e-16      0.00 7.367e-01 2.614e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 10.254 10.798 11.858 9.780
0.0019443 -0.90000 10.07918 0.2500000000 1.8403257998    0.250 -1.988  3.5599  5.015    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-16      0.00 7.363e-01 2.618e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 9.739 10.220 11.206 9.237
0.0019443 -0.90000 10.07918 0.3000000417 1.9529140366    0.300 -1.828  3.5688  4.970    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.36e-19      0.00 7.364e-01 2.617e-01 3.523e-04 9.505e-05 8.621e-04 -1.000 1.959e-03 9.340 9.777 10.714 8.820
0.0019443 -0.90000 10.07918 0.3500000238 2.0434175133    0.350 -1.695  3.5762  4.934    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-15      0.00 7.456e-01 2.524e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 9.007 9.411 10.312 8.473
0.0019443 -0.90000 10.07918 0.3726201355 2.0790070664    0.373 -1.622  3.5816  4.910    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-15      0.00 7.458e-01 2.522e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 8.826 9.207 10.083 8.283
0.0019443 -0.90000 10.07918 0.4000000060 2.1185024399    0.400 -1.540  3.5876  4.883    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 8.621 8.978 9.827 8.069
0.0019443 -0.90000 10.07918 0.4499999881 2.1822809009    0.450 -1.363  3.6041  4.822    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 8.177 8.474 9.254 7.605
0.0019443 -0.90000 10.07918 0.4979982972 2.2353852761    0.498 -1.170  3.6290  4.773    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 7.695 7.910 8.594 7.104
0.0019443 -0.90000 10.07918 0.5000000000 2.2374541529    0.500 -1.162  3.6300  4.771    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-15      0.00 7.460e-01 2.520e-01 3.523e-04 9.504e-05 8.620e-04 -1.000 1.959e-03 7.676 7.888 8.568 7.084
0.0019443 -0.90000 10.07918 0.5500000715 2.2836583126    0.550 -0.936  3.6642  4.723    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -8.53e-15      0.00 7.800e-01 2.183e-01 3.086e-04 8.330e-05 7.559e-04 -1.000 1.748e-03 7.111 7.208 7.758 6.500
0.0019443 -0.90000 10.07918 0.6000000238 2.3211213258    0.600 -0.730  3.6952  4.679    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-14      0.00 7.870e-01 2.114e-01 3.001e-04 8.106e-05 7.358e-04 -1.000 1.666e-03 6.594 6.603 7.060 5.974
0.0019443 -0.90000 10.07918 0.6073794365 2.3260530675    0.607 -0.698  3.7002  4.672    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-14      0.00 7.881e-01 2.103e-01 2.988e-04 8.070e-05 7.326e-04 -1.000 1.666e-03 6.516 6.514 6.958 5.896
0.0019443 -0.90000 10.07918 0.6268186569 2.3384076665    0.627 -0.616  3.7130  4.655    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-14      0.00 7.912e-01 2.072e-01 2.951e-04 7.972e-05 7.239e-04 -1.000 1.614e-03 6.311 6.286 6.699 5.696
0.0019443 -0.90000 10.07918 0.6450051069 2.3491940793    0.645 -0.540  3.7247  4.638    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-14      0.00 7.941e-01 2.042e-01 2.916e-04 7.878e-05 7.154e-04 -1.000 1.666e-03 6.120 6.078 6.465 5.513
0.0019443 -0.90000 10.07918 0.6499999762 2.3520353107    0.650 -0.519  3.7279  4.633    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.949e-01 2.034e-01 2.905e-04 7.852e-05 7.131e-04 -1.000 1.644e-03 6.067 6.021 6.401 5.462
